TopicArea,DatasetName,DataSource,Creator/Publisher,size(MB),Availability,DatePublished,LastUpdateDate,DataSetCharastrestic,MisingValues,Instances,NumberOfAtributes,ListOfAtributes,URL,Citation,Unnamed: 15
Covid-19,COVID-19 Vaccine Distribution Allocations by Jurisdiction - Janssen,ASPA Media,COVID_19,--,Free,2021-02-26,2021-05-05,available online,No,504.0,3,Jurisdiction- Week of Allocations- 1st Dose Allocations,https://data.cdc.gov/Vaccinations/COVID-19-Vaccine-Distribution-Allocations-by-Juris/w9zu-fywh#:~:text=COVID%2D19%20Vaccine%20Distribution%20Allocations%20by%20Jurisdiction%20%2D%20Janssen,https://data.cdc.gov/resource/w9zu-fywh.json,
Covid-19,"Provisional COVID-19 Deaths by HHS Region, Race, and Age",https://www.cdc.gov/nchs/nvss/covid-19.htm,NCHS/DVS,--,Free,2021-02-10,2023-05-03,available online,No,173000.0,14,Data As Of- Start Date- End Date- group- year- month- MMWR week- Week-Ending Date- HHS Region- Race and Hispanic Origin Group- Age Group- COVID-19 Deaths- Total Deaths- Footnote-,"https://data.cdc.gov/NCHS/Provisional-COVID-19-Deaths-by-HHS-Region-Race-and/tpcp-uiv5#:~:text=Sign%20In-,Provisional%20COVID%2D19%20Deaths%20by%20HHS%20Region%2C%20Race%2C%20and%20Age,-NCHS","National Center for Health Statistics. Provisional COVID-19 Deaths by HHS Region, Race, and Age. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/tpcp-uiv5.",
Covid-19,COVID-19 Case Surveillance Public Use Data with Geography,CDC,"CDC Data, Analytics and Visualization Task Force",--,Free,2020-05-15,2023-04-11,available online,No,,12,cdc_case_earliest_dt- cdc_report_dt- pos_spec_dt- onset_dt- current_status- sex- age_group- race_ethnicity_combined- hosp_yn- icu_yn- death_yn- medcond_yn,"https://data.cdc.gov/Case-Surveillance/COVID-19-Case-Surveillance-Public-Use-Data/vbim-akqf#:~:text=Sign%20In-,COVID%2D19%20Case%20Surveillance%20Public%20Use%20Data,-Case%20Surveillance","Centers for Disease Control and Prevention, COVID-19 Response. COVID-19 Case Surveillance Public Data Access, Summary, and Limitations (version date: April 06, 2023).",
Covid-19,United States COVID-19 Community Levels by County,CDC,CDC COVID-19 Response,--,Free,2022-03-03,2023-04-27,available online,No,,12,county- county_fips- state- county_population- health_service_area_number- health_service_area- health_service_area_population- covid_inpatient_bed_utilization- covid_hospital_admissions_per_100k- covid_cases_per_100k- covid-19_community_level- date_updated,"https://data.cdc.gov/Public-Health-Surveillance/United-States-COVID-19-Community-Levels-by-County/3nnm-4jni#:~:text=Sign%20In-,United%20States%20COVID%2D19%20Community%20Levels%20by%20County,-Public%20Health%20Surveillance","Centers for Disease Control and Prevention, COVID-19 Response. United States COVID-19 Community Levels by County (April 27, 2023",
Covid-19,Provisional COVID-19 Deaths by Sex and Age,https://www.cdc.gov/nchs/nvss/vsrr/covid_weekly/index.htm,NCHS/DVS,--,Free,2020-05-01,2023-05-03,available online,No,124000.0,16,"COVID-19 deaths by sex, age, state, year and month","https://data.cdc.gov/NCHS/Provisional-COVID-19-Deaths-by-Sex-and-Age/9bhg-hcku#:~:text=Sign%20In-,Provisional%20COVID%2D19%20Deaths%20by%20Sex%20and%20Age,-NCHS",National Center for Health Statistics. Provisional COVID-19 Deaths by Sex and Age. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/9bhg-hcku.,
Covid-19,United States COVID-19 Cases and Deaths by State over Time - ARCHIVED,Surveillance Review and Response Group,CDC COVID-19 Response,--,Free,2020-06-11,2022-10-19,Available online,No,60.1,15,"State- tot_cases- submission_date- conf_cases- prob_cases- new_case- pnew_case- tot_death- 
Conf_death- prob_death- new_death- pnew_death- created_at- consent_cases- consent_deaths","https://data.cdc.gov/Case-Surveillance/United-States-COVID-19-Cases-and-Deaths-by-State-o/9mfq-cb36#:~:text=Sign%20In-,United%20States%20COVID%2D19%20Cases%20and%20Deaths%20by%20State%20over%20Time%20%2D%20ARCHIVED,-Case%20Surveillance","Centers for Disease Control and Prevention, COVID-19 Response. United States COVID-19 Cases and Deaths by State over Time - ARCHIVED (version date: October 19, 2022)",
Covid-19,Provisional COVID-19 Deaths by Place of Death and Age,https://www.cdc.gov/nchs/nvss/vsrr/covid_weekly/index.htm,NCHS/DVS,--,Free,2020-09-02,2023-05-03,Available online,No,197000.0,17,"Data as of- Start Date- End Date- Group- Year- Month- HHS Region- State- Place of Death- Age group- COVID-19 Deaths- Total Deaths- Pneumonia Deaths- Pneumonia and COVID-19 Deaths- Influenza Deaths- Pneumonia, Influenza, or COVID-19 Deaths- Footnote","https://data.cdc.gov/NCHS/Provisional-COVID-19-Deaths-by-Place-of-Death-and-/4va6-ph5s#:~:text=Sign%20In-,Provisional%20COVID%2D19%20Deaths%20by%20Place%20of%20Death%20and%20Age,-NCHS",National Center for Health Statistics. Provisional COVID-19 Deaths by Place of Death and Age. Date accessed [Last accessed date]. Available from https://data.cdc.gov/d/4va6-ph5s.,
Covid-19,"Provisional COVID-19 Deaths by Race and Hispanic Origin, and Age",https://www.cdc.gov/nchs/nvss/vsrr/covid_weekly/,NCHS/DVS,--,Free,2020-05-08,2023-05-03,Available online,No,6729.0,13,"Data as of- Start Date- End Date- State- Age group- Race and Hispanic Origin Group- COVID-19 Deaths- Total Deaths- Pneumonia Deaths- Pneumonia and COVID-19 Deaths- Influenza Deaths- Pneumonia, Influenza, or COVID-19 Deaths- Footnote","https://data.cdc.gov/NCHS/Provisional-COVID-19-Deaths-by-Race-and-Hispanic-O/ks3g-spdg#:~:text=Sign%20In-,Provisional%20COVID%2D19%20Deaths%20by%20Race%20and%20Hispanic%20Origin%2C%20and%20Age,-NCHS","National Center for Health Statistics. Provisional COVID-19 Deaths by Race and Hispanic Origin, and Age. Date accessed [May 3, 2023]. Available from https://data.cdc.gov/d/ks3g-spdg.",
Covid-19,Provisional COVID-19 Deaths: Focus on Ages 0-18 Years,National Center for Health Statistics,NCHS/DVS,--,Free,2020-08-05,2023-05-03,Available online,No,29.0,8,Data as of- Age group- COVID-19 Deaths- Indicator- Sex- Race or Hispanic Origin Group- Start Week,"https://data.cdc.gov/NCHS/Provisional-COVID-19-Deaths-Focus-on-Ages-0-18-Yea/nr4s-juj3#:~:text=Sign%20In-,Provisional%20COVID%2D19%20Deaths%3A%20Focus%20on%20Ages%200%2D18%20Years,-NCHS","National Center for Health Statistics. Provisional COVID-19 Deaths: Focus on Ages 0-18 Years. Date accessed [May 3, 2023]. Available from https://data.cdc.gov/d/nr4s-juj3.",
Covid-19,COVID-19 Case Surveillance Public Use Data with Geography,Surveillance Review and Response Group,"CDC Data, Analytics and Visualization Task Force",--,Free,2020-05-15,2023-04-11,Available online,No,97.8,12,cdc_case_earliest_dt- cdc_report_dt- pos_spec_dt- onset_dt- current_status- sex- age_group- race_ethnicity_combined- hosp_yn- icu_yn- death_yn- medcond_yn,"https://data.cdc.gov/Case-Surveillance/COVID-19-Case-Surveillance-Public-Use-Data/vbim-akqf#:~:text=Sign%20In-,COVID%2D19%20Case%20Surveillance%20Public%20Use%20Data,-Case%20Surveillance","Centers for Disease Control and Prevention, COVID-19 Response. COVID-19 Case Surveillance Public Data Access, Summary, and Limitations (version date: April 06, 2023).",
